SPECIES,SECTION,LOGHEIGHT,TRANSECT,TREE,TUBEX,YEAR,AGE,HEIGHT,STATUS,ID
17,2,0.703097511,11,33,0,1997,7,2.02,1,23
17,2,-0.113168698,11,33,0,1995,5,0.893,1,23
13,1,0.598836501,1,1,0,1997,7,1.82,1,24
13,1,0.084341148,1,1,0,1995,5,1.088,1,24
13,1,-0.247180129,1,1,0,1993,3,0.781,1,24
13,1,-0.723606388,1,1,0,1992,2,0.485,1,24
13,1,-1.027222293,1,1,0,1991,1,0.358,1,24
13,1,-1.03563749,1,1,0,1990,0,0.355,1,24
13,1,1.609437912,1,3,0,2010,20,5,1,26
13,1,1.386294361,1,3,0,2002,12,4,1,26
13,1,1.360976553,1,3,0,2006,16,3.9,1,26
13,1,0.559615788,1,3,0,1999,9,1.75,1,26
13,1,0.182321557,1,3,0,1997,7,1.2,1,26
13,1,-0.458865885,1,3,0,1995,5,0.632,1,26
13,1,-1.328025453,1,3,0,1990,0,0.265,1,26
13,1,-1.370421012,1,3,0,1991,1,0.254,1,26
13,1,-1.589635285,1,3,0,1993,3,0.204,1,26
13,1,-1.671313316,1,3,0,1992,2,0.188,1,26
13,1,1.609437912,1,4,0,2010,20,5,1,27
13,1,1.481604541,1,4,0,2006,16,4.4,1,27
13,1,1.280933845,1,4,0,2002,12,3.6,1,27
13,1,0.631271777,1,4,0,1999,9,1.88,1,27
13,1,0.329303747,1,4,0,1997,7,1.39,1,27
13,1,-0.149660775,1,4,0,1995,5,0.861,1,27
13,1,-1.007857925,1,4,0,1993,3,0.365,1,27
13,1,-1.265848208,1,4,0,1991,1,0.282,1,27
13,1,-1.272965676,1,4,0,1992,2,0.28,1,27
13,1,-1.347073648,1,4,0,1990,0,0.26,1,27
13,1,1.740466175,1,7,0,2010,20,5.7,1,30
13,1,1.568615918,1,7,0,2006,16,4.8,1,30
13,1,1.208960346,1,7,0,2002,12,3.35,1,30
13,1,0.828551818,1,7,0,1999,9,2.29,1,30
13,1,0.631271777,1,7,0,1997,7,1.88,1,30
13,1,-0.30652516,1,7,0,1995,5,0.736,1,30
13,1,-0.590590592,1,7,0,1993,3,0.554,1,30
13,1,-0.811930717,1,7,0,1991,1,0.444,1,30
13,1,-1.049822124,1,7,0,1990,0,0.35,1,30
13,1,-1.15518264,1,7,0,1992,2,0.315,1,30
13,1,1.667706821,1,8,0,2010,20,5.3,1,31
13,1,1.386294361,1,8,0,2006,16,4,1,31
13,1,1.098612289,1,8,0,2002,12,3,1,31
13,1,0.693147181,1,8,0,1999,9,2,1,31
13,1,0.39877612,1,8,0,1997,7,1.49,1,31
13,1,-0.188742125,1,8,0,1995,5,0.828,1,31
13,1,-0.946749939,1,8,0,1991,1,0.388,1,31
13,1,-1.021651248,1,8,0,1990,0,0.36,1,31
13,1,-1.084709383,1,8,0,1993,3,0.338,1,31
13,1,-1.742969305,1,8,0,1992,2,0.175,1,31
13,1,1.740466175,1,9,0,2010,20,5.7,1,32
13,1,1.410986974,1,9,0,2006,16,4.1,1,32
13,1,1.08180517,1,9,0,2002,12,2.95,1,32
13,1,0,1,9,0,1999,9,1,1,32
13,1,-0.040821995,1,9,0,1997,7,0.96,1,32
13,1,-0.343899752,1,9,0,1995,5,0.709,1,32
13,1,-1.22758267,1,9,0,1993,3,0.293,1,32
13,1,-1.619488248,1,9,0,1991,1,0.198,1,32
13,1,-1.63475572,1,9,0,1992,2,0.195,1,32
13,1,-1.660731207,1,9,0,1990,0,0.19,1,32
13,1,1.648658626,1,10,0,2010,20,5.2,1,33
13,1,1.16315081,1,10,0,2006,16,3.2,1,33
13,1,1.011600912,1,10,0,2002,12,2.75,1,33
13,1,0.647103242,1,10,0,1999,9,1.91,1,33
13,1,0.412109651,1,10,0,1997,7,1.51,1,33
13,1,-0.119910297,1,10,0,1995,5,0.887,1,33
13,1,-0.802962047,1,10,0,1993,3,0.448,1,33
13,1,-0.867500568,1,10,0,1992,2,0.42,1,33
13,1,-1.15518264,1,10,0,1990,0,0.315,1,33
13,1,-1.237874356,1,10,0,1991,1,0.29,1,33
13,1,1.410986974,1,11,0,2006,16,4.1,1,34
13,1,1.223775432,1,11,0,2010,20,3.4,1,34
13,1,0.896088025,1,11,0,2002,12,2.45,1,34
13,1,0.451075619,1,11,0,1999,9,1.57,1,34
13,1,0.058268908,1,11,0,1997,7,1.06,1,34
13,1,-1.207311706,1,11,0,1993,3,0.299,1,34
13,1,-1.5945493,1,11,0,1992,2,0.203,1,34
13,1,-1.692819521,1,11,0,1991,1,0.184,1,34
13,1,-2.040220829,1,11,0,1990,0,0.13,1,34
13,1,-0.061875404,3,12,0,1997,7,0.94,1,35
13,1,-0.652005237,3,12,0,1995,5,0.521,1,35
13,1,-1.093624747,3,12,0,1993,3,0.335,1,35
13,1,-1.164752091,3,12,0,1992,2,0.312,1,35
13,1,-1.171182982,3,12,0,1991,1,0.31,1,35
13,1,-1.328025453,3,12,0,1990,0,0.265,1,35
13,1,-0.505838082,3,13,0,1993,3,0.603,1,36
13,1,-0.532730459,3,13,0,1995,5,0.587,1,36
13,1,-0.544727175,3,13,0,1992,2,0.58,1,36
13,1,-0.563874845,3,13,0,1991,1,0.569,1,36
13,1,-0.755022584,3,13,0,1997,7,0.47,1,36
13,1,-0.980829253,3,13,0,1990,0,0.375,1,36
13,1,1.791759469,1,14,0,2010,20,6,1,37
13,1,1.435084525,1,14,0,2006,16,4.2,1,37
13,1,1.064710737,1,14,0,2002,12,2.9,1,37
13,1,0.703097511,1,14,0,1999,9,2.02,1,37
13,1,-1.03563749,1,14,0,1990,0,0.355,1,37
13,1,-1.347073648,1,14,0,1992,2,0.26,1,37
13,1,-1.514127733,1,14,0,1991,1,0.22,1,37
13,1,1.589235205,1,15,0,2010,20,4.9,1,38
13,1,1.481604541,1,15,0,2006,16,4.4,1,38
13,1,1.266947603,1,15,0,2002,12,3.55,1,38
13,1,1.071583616,1,15,0,1999,9,2.92,1,38
13,1,-0.034591445,1,15,0,1995,5,0.966,1,38
13,1,-0.125563223,1,15,0,1993,3,0.882,1,38
13,1,-0.850971266,1,15,0,1992,2,0.427,1,38
13,1,-1.280134165,1,15,0,1991,1,0.278,1,38
13,1,-1.406497068,1,15,0,1990,0,0.245,1,38
13,1,0.741937345,3,16,0,2010,20,2.1,1,39
13,1,0.657520003,3,16,0,1997,7,1.93,1,39
13,1,0.641853886,3,16,0,2006,16,1.9,1,39
13,1,0.262364264,3,16,0,2002,12,1.3,1,39
13,1,-0.891598119,3,16,0,1990,0,0.41,1,39
13,1,-1.038458366,3,16,0,1995,5,0.354,1,39
13,1,-1.090644119,3,16,0,1991,1,0.336,1,39
13,1,-1.435484605,3,16,0,1992,2,0.238,1,39
13,1,-1.527857925,3,16,0,1993,3,0.217,1,39
13,1,1.458615023,3,18,0,2010,20,4.3,1,41
13,1,1.064710737,3,18,0,2006,16,2.9,1,41
13,1,0.936093359,3,18,0,2002,12,2.55,1,41
13,1,0.405465108,3,18,0,1999,9,1.5,1,41
13,1,-0.478035801,3,18,0,1997,7,0.62,1,41
13,1,-0.95191791,3,18,0,1995,5,0.386,1,41
13,1,-1.290984181,3,18,0,1990,0,0.275,1,41
13,1,-1.294627173,3,18,0,1993,3,0.274,1,41
13,1,-1.398366942,3,18,0,1992,2,0.247,1,41
13,1,-1.63475572,3,18,0,1991,1,0.195,1,41
13,1,1.824549292,1,20,0,2010,20,6.2,1,43
13,1,1.609437912,1,20,0,2006,16,5,1,43
13,1,1.30833282,1,20,0,2002,12,3.7,1,43
13,1,0.797507196,1,20,0,1999,9,2.22,1,43
13,1,0.470003629,1,20,0,1997,7,1.6,1,43
13,1,-0.068278841,1,20,0,1995,5,0.934,1,43
13,1,-0.661648514,1,20,0,1993,3,0.516,1,43
13,1,-0.776528789,1,20,0,1990,0,0.46,1,43
13,1,-1.049822124,1,20,0,1992,2,0.35,1,43
13,1,-1.152013065,1,20,0,1991,1,0.316,1,43
13,1,1.887069649,1,21,0,2010,20,6.6,1,44
13,1,1.808288771,1,21,0,2006,16,6.1,1,44
13,1,1.280933845,1,21,0,2002,12,3.6,1,44
13,1,1.00063188,1,21,0,1999,9,2.72,1,44
13,1,0.625938431,1,21,0,1997,7,1.87,1,44
13,1,-0.011060947,1,21,0,1995,5,0.989,1,44
13,1,-0.585190039,1,21,0,1993,3,0.557,1,44
13,1,-1.386294361,1,21,0,1990,0,0.25,1,44
13,1,-1.47840965,1,21,0,1992,2,0.228,1,44
13,1,-2.103734234,1,21,0,1991,1,0.122,1,44
13,1,1.62924054,1,22,0,2010,20,5.1,1,45
13,1,1.30833282,1,22,0,2006,16,3.7,1,45
13,1,0.832909123,1,22,0,2002,12,2.3,1,45
13,1,0.336472237,1,22,0,1999,9,1.4,1,45
13,1,0.09531018,1,22,0,1997,7,1.1,1,45
13,1,-0.210721031,1,22,0,1995,5,0.81,1,45
13,1,-0.879476759,1,22,0,1990,0,0.415,1,45
13,1,-0.88673193,1,22,0,1992,2,0.412,1,45
13,1,-0.916290732,1,22,0,1991,1,0.4,1,45
13,1,-0.978166136,1,22,0,1993,3,0.376,1,45
13,1,1.386294361,1,23,0,2010,20,4,1,46
13,1,1.193922468,1,23,0,2006,16,3.3,1,46
13,1,0.936093359,1,23,0,2002,12,2.55,1,46
13,1,0.198850859,1,23,0,1999,9,1.22,1,46
13,1,-0.967584026,1,23,0,1990,0,0.38,1,46
13,1,-0.991553216,1,23,0,1995,5,0.371,1,46
13,1,-1.187443502,1,23,0,1993,3,0.305,1,46
13,1,-2.040220829,1,23,0,1992,2,0.13,1,46
13,1,-2.171556831,1,23,0,1991,1,0.114,1,46
13,1,1.223775432,1,24,0,2006,16,3.4,1,47
13,1,0.067658648,1,24,0,1997,7,1.07,1,47
13,1,-0.192371893,1,24,0,1995,5,0.825,1,47
13,1,-0.823255866,1,24,0,1993,3,0.439,1,47
13,1,-1.093624747,1,24,0,1990,0,0.335,1,47
13,1,-1.171182982,1,24,0,1992,2,0.31,1,47
13,1,-1.287354413,1,24,0,1991,1,0.276,1,47
13,1,1.704748092,1,25,0,2010,20,5.5,1,48
13,1,1.386294361,1,25,0,2006,16,4,1,48
13,1,0.916290732,1,25,0,2002,12,2.5,1,48
13,1,0.631271777,1,25,0,1997,7,1.88,1,48
13,1,0.58221562,1,25,0,1999,9,1.79,1,48
13,1,-0.738144546,1,25,0,1993,3,0.478,1,48
13,1,-1.021651248,1,25,0,1990,0,0.36,1,48
13,1,-1.049822124,1,25,0,1992,2,0.35,1,48
13,1,-1.386294361,1,25,0,1991,1,0.25,1,48
13,1,1.280933845,1,42,0,2010,20,3.6,1,65
13,1,1.029619417,1,42,0,2006,16,2.8,1,65
13,1,0.783901544,1,42,0,2002,12,2.19,1,65
13,1,0.717839793,1,42,0,1999,9,2.05,1,65
13,1,0.336472237,1,42,0,1997,7,1.4,1,65
13,1,-0.703197516,1,42,0,1992,2,0.495,1,65
13,1,-0.711311151,1,42,0,1993,3,0.491,1,65
13,1,-0.759286983,1,42,0,1991,1,0.468,1,65
13,1,-0.903868212,1,42,0,1990,0,0.405,1,65
13,1,1.386294361,1,43,0,2010,20,4,1,67
13,1,1.223775432,1,43,0,2006,16,3.4,1,67
13,1,0.832909123,1,43,0,2002,12,2.3,1,67
13,1,0.31481074,1,43,0,1999,9,1.37,1,67
13,1,0.09531018,1,43,0,1997,7,1.1,1,67
13,1,0.073250462,1,43,0,1995,5,1.076,1,67
13,1,-0.713349888,1,43,0,1990,0,0.49,1,67
13,1,-0.763569645,1,43,0,1992,2,0.466,1,67
13,1,-0.780886095,1,43,0,1991,1,0.458,1,67
13,1,-0.809680997,1,43,0,1993,3,0.445,1,67
13,1,0.78845736,1,44,0,2010,20,2.2,1,68
13,1,0.463734016,1,44,0,2006,16,1.59,1,68
13,1,0.182321557,1,44,0,2002,12,1.2,1,68
13,1,-0.597837001,1,44,0,1999,9,0.55,1,68
13,1,-1.46967597,1,44,0,1990,0,0.23,1,68
13,1,-2.3227878,1,44,0,1993,3,0.098,1,68
13,1,-2.430418465,1,44,0,1992,2,0.088,1,68
13,1,-2.780620894,1,44,0,1991,1,0.062,1,68
13,1,1.504077397,3,45,0,2010,20,4.5,1,69
13,1,1.280933845,3,45,0,2006,16,3.6,1,69
13,1,1.131402111,3,45,0,2002,12,3.1,1,69
13,1,0.850150929,3,45,0,1999,9,2.34,1,69
13,1,0.688134639,3,45,0,1997,7,1.99,1,69
13,1,0.103458708,3,45,0,1995,5,1.109,1,69
13,1,-0.42007126,3,45,0,1993,3,0.657,1,69
13,1,-0.556869562,3,45,0,1992,2,0.573,1,69
13,1,-0.84397007,3,45,0,1991,1,0.43,1,69
13,1,-0.954511945,3,45,0,1990,0,0.385,1,69
13,1,1.504077397,3,47,0,2010,20,4.5,1,71
13,1,1.193922468,3,47,0,2006,16,3.3,1,71
13,1,0.810930216,3,47,0,2002,12,2.25,1,71
13,1,0.343589704,3,47,0,1999,9,1.41,1,71
13,1,-0.127833372,3,47,0,1997,7,0.88,1,71
13,1,-0.798507696,3,47,0,1995,5,0.45,1,71
13,1,-0.994252273,3,47,0,1990,0,0.37,1,71
13,1,-1.013352445,3,47,0,1993,3,0.363,1,71
13,1,-1.03563749,3,47,0,1992,2,0.355,1,71
13,1,-1.052683357,3,47,0,1991,1,0.349,1,71
13,1,0.470003629,3,48,0,2010,20,1.6,1,72
13,1,0.405465108,3,48,0,2006,16,1.5,1,72
13,1,0.086177696,3,48,0,2002,12,1.09,1,72
13,1,-0.400477567,3,48,0,1997,7,0.67,1,72
13,1,-1.064210862,3,48,0,1995,5,0.345,1,72
13,1,-1.078809661,3,48,0,1990,0,0.34,1,72
13,1,-1.133203733,3,48,0,1993,3,0.322,1,72
13,1,-1.148853505,3,48,0,1991,1,0.317,1,72
13,1,-1.164752091,3,48,0,1992,2,0.312,1,72
13,1,1.740466175,3,50,0,2010,20,5.7,1,74
13,1,1.435084525,3,50,0,2006,16,4.2,1,74
13,1,1.047318994,3,50,0,2002,12,2.85,1,74
13,1,0.693147181,3,50,0,1999,9,2,1,74
13,1,0.262364264,3,50,0,1997,7,1.3,1,74
13,1,-0.282362911,3,50,0,1995,5,0.754,1,74
13,1,-0.725670372,3,50,0,1993,3,0.484,1,74
13,1,-1.339410775,3,50,0,1992,2,0.262,1,74
13,1,-1.427116356,3,50,0,1990,0,0.24,1,74
13,1,-1.514127733,3,50,0,1991,1,0.22,1,74
13,1,0.641853886,3,52,0,2010,20,1.9,1,76
13,1,0.378436436,3,52,0,1997,7,1.46,1,76
13,1,0.336472237,3,52,0,1999,9,1.4,1,76
13,1,0.09531018,3,52,0,2006,16,1.1,1,76
13,1,-0.478035801,3,52,0,2002,12,0.62,1,76
13,1,-1.123930097,3,52,0,1992,2,0.325,1,76
13,1,-1.241328591,3,52,0,1991,1,0.289,1,76
13,1,-1.255266099,3,52,0,1990,0,0.285,1,76
13,1,-1.754463684,3,52,0,1993,3,0.173,1,76
13,1,1.547562509,3,55,0,2010,20,4.7,1,79
13,1,1.280933845,3,55,0,2006,16,3.6,1,79
13,1,1.047318994,3,55,0,2002,12,2.85,1,79
13,1,0.385262401,3,55,0,1997,7,1.47,1,79
13,1,0.021761492,3,55,0,1995,5,1.022,1,79
13,1,-0.655851396,3,55,0,1993,3,0.519,1,79
13,1,-1.072944542,3,55,0,1992,2,0.342,1,79
13,1,-1.093624747,3,55,0,1990,0,0.335,1,79
13,1,-1.210661792,3,55,0,1991,1,0.298,1,79
13,1,0.832909123,3,56,0,2010,20,2.3,1,80
13,1,0.587786665,3,56,0,2006,16,1.8,1,80
13,1,0,3,56,0,2002,12,1,1,80
13,1,-2.017406151,3,56,0,1993,3,0.133,1,80
13,1,-2.162823151,3,56,0,1990,0,0.115,1,80
13,1,-2.63108916,3,56,0,1992,2,0.072,1,80
13,1,-3.146555163,3,56,0,1991,1,0.043,1,80
13,1,-0.916290732,3,59,0,1997,7,0.4,1,83
13,1,-1.187443502,3,59,0,1990,0,0.305,1,83
13,1,-1.272965676,3,59,0,1995,5,0.28,1,83
13,1,-2.071473372,3,59,0,1993,3,0.126,1,83
13,1,-2.171556831,3,59,0,1992,2,0.114,1,83
13,1,-2.430418465,3,59,0,1991,1,0.088,1,83
13,1,1.686398954,3,64,0,2010,20,5.4,1,88
13,1,1.435084525,3,64,0,2006,16,4.2,1,88
13,1,0.916290732,3,64,0,2002,12,2.5,1,88
13,1,0.207014169,3,64,0,1999,9,1.23,1,88
13,1,-0.52087596,3,64,0,1993,3,0.594,1,88
13,1,-0.679244275,3,64,0,1992,2,0.507,1,88
13,1,-0.765717873,3,64,0,1990,0,0.465,1,88
13,1,-0.949330586,3,64,0,1991,1,0.387,1,88
13,1,1.840549633,3,67,0,2010,20,6.3,1,91
13,1,1.504077397,3,67,0,2006,16,4.5,1,91
13,1,1.029619417,3,67,0,2002,12,2.8,1,91
13,1,0.947789399,3,67,0,1999,9,2.58,1,91
13,1,0.683096845,3,67,0,1997,7,1.98,1,91
13,1,0.33432708,3,67,0,1995,5,1.397,1,91
13,1,-0.697155202,3,67,0,1993,3,0.498,1,91
13,1,-1.30933332,3,67,0,1990,0,0.27,1,91
13,1,-1.339410775,3,67,0,1992,2,0.262,1,91
13,1,-1.709258248,3,67,0,1991,1,0.181,1,91
13,1,2.091864062,3,68,0,2010,20,8.1,1,92
13,1,1.722766598,3,68,0,2006,16,5.6,1,92
13,1,1.386294361,3,68,0,2002,12,4,1,92
13,1,0.989541194,3,68,0,1999,9,2.69,1,92
13,1,0.233489843,3,68,0,1995,5,1.263,1,92
13,1,-0.752897185,3,68,0,1993,3,0.471,1,92
13,1,-0.772190388,3,68,0,1991,1,0.462,1,92
13,1,-1.108662625,3,68,0,1990,0,0.33,1,92
13,1,-1.133203733,3,68,0,1992,2,0.322,1,92
13,1,2.054123734,3,69,0,2010,20,7.8,1,93
13,1,1.504077397,3,69,0,2006,16,4.5,1,93
13,1,1.335001067,3,69,0,2002,12,3.8,1,93
13,1,0.924258902,3,69,0,1999,9,2.52,1,93
13,1,0.802001585,3,69,0,1997,7,2.23,1,93
13,1,0.194744077,3,69,0,1995,5,1.215,1,93
13,1,-0.171975265,3,69,0,1993,3,0.842,1,93
13,1,-1.049822124,3,69,0,1990,0,0.35,1,93
13,1,-1.15518264,3,69,0,1992,2,0.315,1,93
13,1,-1.30933332,3,69,0,1991,1,0.27,1,93
13,1,2.104134154,3,70,0,2010,20,8.2,1,94
13,1,1.667706821,3,70,0,2006,16,5.3,1,94
13,1,1.131402111,3,70,0,2002,12,3.1,1,94
13,1,0.815364813,3,70,0,1999,9,2.26,1,94
13,1,0.058268908,3,70,0,1997,7,1.06,1,94
13,1,-0.378336441,3,70,0,1995,5,0.685,1,94
13,1,-0.761426021,3,70,0,1993,3,0.467,1,94
13,1,-0.96233467,3,70,0,1992,2,0.382,1,94
13,1,-1.067113622,3,70,0,1991,1,0.344,1,94
13,1,-1.108662625,3,70,0,1990,0,0.33,1,94
13,1,1.791759469,3,72,0,2010,20,6,1,96
13,1,1.30833282,3,72,0,2006,16,3.7,1,96
13,1,1.047318994,3,72,0,2002,12,2.85,1,96
13,1,0.530628251,3,72,0,1999,9,1.7,1,96
13,1,-0.579818495,3,72,0,1995,5,0.56,1,96
13,1,-1.777856564,3,72,0,1993,3,0.169,1,96
13,1,-2.087473713,3,72,0,1992,2,0.124,1,96
13,1,-2.225624052,3,72,0,1991,1,0.108,1,96
13,1,-2.995732274,3,72,0,1990,0,0.05,1,96
13,1,1.791759469,3,73,0,2010,20,6,1,97
13,1,1.30833282,3,73,0,2006,16,3.7,1,97
13,1,0.896088025,3,73,0,2002,12,2.45,1,97
13,1,0.182321557,3,73,0,1999,9,1.2,1,97
13,1,-1.105636904,3,73,0,1995,5,0.331,1,97
13,1,-1.857899272,3,73,0,1993,3,0.156,1,97
