"","X","distschNum","year08","districtType","MathAvgScore","MonPerChild","schoolName","schPctnonw","schPctsped","schPctfree","city","urban"
"91",91,"Dtype 1 Dnum 162 Snum 10",2,1,651.2,8658.193932,"BAGLEY ELEMENTARY",0.373134328,0.179104478,0.597014925,"Bagley",0
"92",92,"Dtype 1 Dnum 166 Snum 40",0,1,653.4,8972.919199,"COOK COUNTY MIDDLE",0.162790698,0.162790698,0.279069767,"Grand Marais",0
"93",93,"Dtype 1 Dnum 166 Snum 40",1,1,651.7,9939.967302,"COOK COUNTY MIDDLE",0.162790698,0.162790698,0.279069767,"Grand Marais",0
"94",94,"Dtype 1 Dnum 166 Snum 40",2,1,658,9598.576614,"COOK COUNTY MIDDLE",0.162790698,0.162790698,0.279069767,"Grand Marais",0
"95",95,"Dtype 1 Dnum 173 Snum 10",0,1,648.6,8941.765329,"MOUNTAIN LAKE ELEMENTARY",0.2,0.257142857,0.371428571,"Mountain Lake",0
"96",96,"Dtype 1 Dnum 173 Snum 10",1,1,652.7,10005.6481,"MOUNTAIN LAKE ELEMENTARY",0.2,0.257142857,0.371428571,"Mountain Lake",0
"97",97,"Dtype 1 Dnum 173 Snum 10",2,1,652.6,9879.939268,"MOUNTAIN LAKE ELEMENTARY",0.2,0.257142857,0.371428571,"Mountain Lake",0
"98",98,"Dtype 1 Dnum 177 Snum 60",0,1,658.2,8771.059745,"WINDOM MIDDLE",0.161290323,0.161290323,0.435483871,"Windom",1
"99",99,"Dtype 1 Dnum 177 Snum 60",1,1,657.8,9887.714491,"WINDOM MIDDLE",0.161290323,0.161290323,0.435483871,"Windom",1
"100",100,"Dtype 1 Dnum 177 Snum 60",2,1,656.8,9681.652334,"WINDOM MIDDLE",0.161290323,0.161290323,0.435483871,"Windom",1
"101",101,"Dtype 1 Dnum 181 Snum 22",0,1,653.9,8808.506998,"FORESTVIEW MIDDLE",0.074561404,0.171052632,0.460526316,"Brainerd",1
"102",102,"Dtype 1 Dnum 181 Snum 22",1,1,651.9,8965.780852,"FORESTVIEW MIDDLE",0.074561404,0.171052632,0.460526316,"Brainerd",1
"103",103,"Dtype 1 Dnum 181 Snum 22",2,1,653.1,8754.870504,"FORESTVIEW MIDDLE",0.074561404,0.171052632,0.460526316,"Brainerd",1
"104",104,"Dtype 1 Dnum 182 Snum 6",0,1,647,8997.377878,"CUYUNA RANGE ELEMENTARY",0.0375,0.1125,0.5625,"Crosby",0
"105",105,"Dtype 1 Dnum 182 Snum 6",1,1,645.2,9170.571643,"CUYUNA RANGE ELEMENTARY",0.0375,0.1125,0.5625,"Crosby",0
"106",106,"Dtype 1 Dnum 182 Snum 6",2,1,652.5,9241.171207,"CUYUNA RANGE ELEMENTARY",0.0375,0.1125,0.5625,"Crosby",0
"107",107,"Dtype 1 Dnum 186 Snum 15",0,1,649.8,7548.159822,"PEQUOT LAKES MIDDLE",0.025210084,0.109243697,0.344537815,"Pequot Lakes",0
"108",108,"Dtype 1 Dnum 186 Snum 15",1,1,654.5,7708.154465,"PEQUOT LAKES MIDDLE",0.025210084,0.109243697,0.344537815,"Pequot Lakes",0
"109",109,"Dtype 1 Dnum 186 Snum 15",2,1,656.1,7646.89482,"PEQUOT LAKES MIDDLE",0.025210084,0.109243697,0.344537815,"Pequot Lakes",0
"110",110,"Dtype 1 Dnum 191 Snum 482",0,1,654.8,9695.402622,"GIDEON POND ELEMENTARY",0.310344828,0.068965517,0.344827586,"Burnsville",1
"111",111,"Dtype 1 Dnum 191 Snum 482",1,1,661.5,10939.12414,"GIDEON POND ELEMENTARY",0.310344828,0.068965517,0.344827586,"Burnsville",1
"112",112,"Dtype 1 Dnum 191 Snum 482",2,1,660.3,10957.71819,"GIDEON POND ELEMENTARY",0.310344828,0.068965517,0.344827586,"Burnsville",1
"113",113,"Dtype 1 Dnum 191 Snum 483",0,1,649.6,9695.402622,"EDWARD NEILL ELEMENTARY",0.510638298,0.191489362,0.617021277,"Burnsville",1
"114",114,"Dtype 1 Dnum 191 Snum 483",1,1,650.7,10939.12414,"EDWARD NEILL ELEMENTARY",0.510638298,0.191489362,0.617021277,"Burnsville",1
"115",115,"Dtype 1 Dnum 191 Snum 483",2,1,649.1,10957.71819,"EDWARD NEILL ELEMENTARY",0.510638298,0.191489362,0.617021277,"Burnsville",1
"116",116,"Dtype 1 Dnum 191 Snum 484",0,1,657.5,9695.402622,"M.W. SAVAGE ELEMENTARY",0.281690141,0.070422535,0.323943662,"Burnsville",1
"117",117,"Dtype 1 Dnum 191 Snum 484",1,1,659.8,10939.12414,"M.W. SAVAGE ELEMENTARY",0.281690141,0.070422535,0.323943662,"Burnsville",1
"118",118,"Dtype 1 Dnum 191 Snum 484",2,1,660.9,10957.71819,"M.W. SAVAGE ELEMENTARY",0.281690141,0.070422535,0.323943662,"Burnsville",1
"119",119,"Dtype 1 Dnum 191 Snum 485",0,1,654.5,9695.402622,"SIOUX TRAIL ELEMENTARY",0.306122449,0.142857143,0.306122449,"Burnsville",1
"120",120,"Dtype 1 Dnum 191 Snum 485",1,1,650.9,10939.12414,"SIOUX TRAIL ELEMENTARY",0.306122449,0.142857143,0.306122449,"Burnsville",1
"121",121,"Dtype 1 Dnum 191 Snum 485",2,1,659.8,10957.71819,"SIOUX TRAIL ELEMENTARY",0.306122449,0.142857143,0.306122449,"Burnsville",1
"122",122,"Dtype 1 Dnum 191 Snum 486",0,1,652,9695.402622,"VISTA VIEW ELEMENTARY",0.185185185,0.12962963,0.203703704,"Burnsville",1
"123",123,"Dtype 1 Dnum 191 Snum 486",1,1,657,10939.12414,"VISTA VIEW ELEMENTARY",0.185185185,0.12962963,0.203703704,"Burnsville",1
"124",124,"Dtype 1 Dnum 191 Snum 486",2,1,659.8,10957.71819,"VISTA VIEW ELEMENTARY",0.185185185,0.12962963,0.203703704,"Burnsville",1
"125",125,"Dtype 1 Dnum 191 Snum 487",0,1,658,9695.402622,"WILLIAM BYRNE ELEMENTARY",0.303571429,0.089285714,0.303571429,"Burnsville",1
"126",126,"Dtype 1 Dnum 191 Snum 487",1,1,654.4,10939.12414,"WILLIAM BYRNE ELEMENTARY",0.303571429,0.089285714,0.303571429,"Burnsville",1
"127",127,"Dtype 1 Dnum 191 Snum 487",2,1,658.8,10957.71819,"WILLIAM BYRNE ELEMENTARY",0.303571429,0.089285714,0.303571429,"Burnsville",1
"128",128,"Dtype 1 Dnum 191 Snum 488",0,1,659.4,9695.402622,"RAHN ELEMENTARY",0.275,0.125,0.2,"Burnsville",1
"129",129,"Dtype 1 Dnum 191 Snum 488",1,1,659.1,10939.12414,"RAHN ELEMENTARY",0.275,0.125,0.2,"Burnsville",1
"130",130,"Dtype 1 Dnum 191 Snum 488",2,1,660.2,10957.71819,"RAHN ELEMENTARY",0.275,0.125,0.2,"Burnsville",1
"131",131,"Dtype 1 Dnum 191 Snum 489",0,1,653.6,9695.402622,"SKY OAKS ELEMENTARY",0.365079365,0.126984127,0.349206349,"Burnsville",1
"132",132,"Dtype 1 Dnum 191 Snum 489",1,1,655.9,10939.12414,"SKY OAKS ELEMENTARY",0.365079365,0.126984127,0.349206349,"Burnsville",1
"133",133,"Dtype 1 Dnum 191 Snum 489",2,1,658.5,10957.71819,"SKY OAKS ELEMENTARY",0.365079365,0.126984127,0.349206349,"Burnsville",1
"134",134,"Dtype 1 Dnum 191 Snum 490",0,1,652.3,9695.402622,"HIDDEN VALLEY ELEMENTARY",0.386666667,0.053333333,0.386666667,"Burnsville",1
"135",135,"Dtype 1 Dnum 191 Snum 490",1,1,653.6,10939.12414,"HIDDEN VALLEY ELEMENTARY",0.386666667,0.053333333,0.386666667,"Burnsville",1
"136",136,"Dtype 1 Dnum 191 Snum 490",2,1,656.8,10957.71819,"HIDDEN VALLEY ELEMENTARY",0.386666667,0.053333333,0.386666667,"Burnsville",1
"137",137,"Dtype 1 Dnum 191 Snum 491",0,1,657.2,9695.402622,"HARRIET BISHOP ELEMENTARY",0.068965517,0.08045977,0.137931034,"Burnsville",1
"138",138,"Dtype 1 Dnum 191 Snum 491",1,1,659.2,10939.12414,"HARRIET BISHOP ELEMENTARY",0.068965517,0.08045977,0.137931034,"Burnsville",1
"139",139,"Dtype 1 Dnum 191 Snum 491",2,1,662.5,10957.71819,"HARRIET BISHOP ELEMENTARY",0.068965517,0.08045977,0.137931034,"Burnsville",1
"140",140,"Dtype 1 Dnum 192 Snum 30",2,1,658,8489.092757,"LEVI P. DODGE MIDDLE SCHOOL",0.091269841,0.079365079,0.150793651,"Farmington",1
"141",141,"Dtype 1 Dnum 192 Snum 60",0,1,653.4,7846.390303,"ROBERT BOECKMAN MIDDLE SCHOOL",0.114893617,0.10212766,0.153191489,"Farmington",1
"142",142,"Dtype 1 Dnum 192 Snum 60",1,1,654.4,8534.738267,"ROBERT BOECKMAN MIDDLE SCHOOL",0.114893617,0.10212766,0.153191489,"Farmington",1
"143",143,"Dtype 1 Dnum 192 Snum 60",2,1,660,8489.092757,"ROBERT BOECKMAN MIDDLE SCHOOL",0.114893617,0.10212766,0.153191489,"Farmington",1
"144",144,"Dtype 1 Dnum 194 Snum 104",0,1,653.4,8497.379257,"KENWOOD TRAIL MIDDLE SCHOOL",0.1003861,0.108108108,0.138996139,"Lakeville",1
"145",145,"Dtype 1 Dnum 194 Snum 104",1,1,656.1,9080.425083,"KENWOOD TRAIL MIDDLE SCHOOL",0.1003861,0.108108108,0.138996139,"Lakeville",1
"146",146,"Dtype 1 Dnum 194 Snum 104",2,1,657.3,8863.106475,"KENWOOD TRAIL MIDDLE SCHOOL",0.1003861,0.108108108,0.138996139,"Lakeville",1
"147",147,"Dtype 1 Dnum 194 Snum 105",0,1,655.2,8497.379257,"CENTURY MIDDLE SCHOOL",0.086956522,0.143812709,0.050167224,"Lakeville",1
"148",148,"Dtype 1 Dnum 194 Snum 105",1,1,656.8,9080.425083,"CENTURY MIDDLE SCHOOL",0.086956522,0.143812709,0.050167224,"Lakeville",1
"149",149,"Dtype 1 Dnum 194 Snum 105",2,1,658.4,8863.106475,"CENTURY MIDDLE SCHOOL",0.086956522,0.143812709,0.050167224,"Lakeville",1
"150",150,"Dtype 1 Dnum 194 Snum 89",0,1,655.6,8497.379257,"MCGUIRE MIDDLE",0.128289474,0.138157895,0.144736842,"Lakeville",1
"151",151,"Dtype 1 Dnum 194 Snum 89",1,1,657.2,9080.425083,"MCGUIRE MIDDLE",0.128289474,0.138157895,0.144736842,"Lakeville",1
"152",152,"Dtype 1 Dnum 194 Snum 89",2,1,659.5,8863.106475,"MCGUIRE MIDDLE",0.128289474,0.138157895,0.144736842,"Lakeville",1
"153",153,"Dtype 1 Dnum 195 Snum 10",0,1,653.3,7552.10572,"RANDOLPH ELEMENTARY",0.024390244,0.073170732,0.195121951,"Randolph",0
"154",154,"Dtype 1 Dnum 195 Snum 10",1,1,657.9,7428.570886,"RANDOLPH ELEMENTARY",0.024390244,0.073170732,0.195121951,"Randolph",0
"155",155,"Dtype 1 Dnum 195 Snum 10",2,1,661.4,7460.381725,"RANDOLPH ELEMENTARY",0.024390244,0.073170732,0.195121951,"Randolph",0
"156",156,"Dtype 1 Dnum 196 Snum 25",0,1,660.2,9627.780822,"DAKOTA HILLS MIDDLE",0.167567568,0.097297297,0.094594595,"Rosemount",1
"157",157,"Dtype 1 Dnum 196 Snum 25",1,1,659.4,9831.265599,"DAKOTA HILLS MIDDLE",0.167567568,0.097297297,0.094594595,"Rosemount",1
"158",158,"Dtype 1 Dnum 196 Snum 25",2,1,664.4,9758.182583,"DAKOTA HILLS MIDDLE",0.167567568,0.097297297,0.094594595,"Rosemount",1
"159",159,"Dtype 1 Dnum 196 Snum 32",0,1,656.7,9627.780822,"BLACK HAWK MIDDLE",0.301115242,0.118959108,0.185873606,"Rosemount",1
"160",160,"Dtype 1 Dnum 196 Snum 32",1,1,656.9,9831.265599,"BLACK HAWK MIDDLE",0.301115242,0.118959108,0.185873606,"Rosemount",1
"161",161,"Dtype 1 Dnum 196 Snum 32",2,1,659,9758.182583,"BLACK HAWK MIDDLE",0.301115242,0.118959108,0.185873606,"Rosemount",1
"162",162,"Dtype 1 Dnum 196 Snum 39",0,1,655.9,9627.780822,"ROSEMOUNT MIDDLE",0.153424658,0.164383562,0.106849315,"Rosemount",1
"163",163,"Dtype 1 Dnum 196 Snum 39",1,1,657.1,9831.265599,"ROSEMOUNT MIDDLE",0.153424658,0.164383562,0.106849315,"Rosemount",1
"164",164,"Dtype 1 Dnum 196 Snum 39",2,1,661.6,9758.182583,"ROSEMOUNT MIDDLE",0.153424658,0.164383562,0.106849315,"Rosemount",1
